Local Site Name,Month_Year,Site Latitude,Site Longitude,CO,NO,PM10,PM2.5,SO2
COM ED MAINTENANCE BLDG,2015-06,41.7513999786378,-87.7134881520007,,23.133333333333333,,53.205882352941174,1.6333333333333333
COM ED MAINTENANCE BLDG,2015-07,41.7513999786378,-87.7134881520007,,21.70967741935484,,60.138888888888886,3.3548387096774195
COM ED MAINTENANCE BLDG,2015-08,41.7513999786378,-87.7134881520007,,18.258064516129032,,52.375,2.7096774193548385
COM ED MAINTENANCE BLDG,2015-09,41.7513999786378,-87.7134881520007,,22.066666666666663,,49.193548387096776,3.2333333333333334
COM ED MAINTENANCE BLDG,2015-10,41.7513999786378,-87.7134881520007,,19.93548387096774,,32.861111111111114,2.161290322580645
COM ED MAINTENANCE BLDG,2015-11,41.7513999786378,-87.7134881520007,,22.533333333333335,,42.82857142857143,2.6
COM ED MAINTENANCE BLDG,2015-12,41.7513999786378,-87.7134881520007,,20.387096774193548,,37.69444444444444,1.6451612903225807
COM ED MAINTENANCE BLDG,2016-01,41.7513999786378,-87.7134881520007,,26.516129032258064,,42.83783783783784,2.032258064516129
COM ED MAINTENANCE BLDG,2016-02,41.7513999786378,-87.7134881520007,,26.653846153846153,,45.58064516129032,2.413793103448276
COM ED MAINTENANCE BLDG,2016-03,41.7513999786378,-87.7134881520007,,28.806451612903224,,45.72222222222222,1.967741935483871
COM ED MAINTENANCE BLDG,2016-04,41.7513999786378,-87.7134881520007,,28.633333333333333,,46.51515151515152,2.2666666666666666
COM ED MAINTENANCE BLDG,2016-05,41.7513999786378,-87.7134881520007,,29.903225806451612,,46.5,2.2580645161290325
COM ED MAINTENANCE BLDG,2016-06,41.7513999786378,-87.7134881520007,,30.3,,42.55882352941177,3.6206896551724137
COM ED MAINTENANCE BLDG,2016-07,41.7513999786378,-87.7134881520007,,16.535714285714285,,42.5,2.4193548387096775
COM ED MAINTENANCE BLDG,2016-08,41.7513999786378,-87.7134881520007,,21.612903225806452,,50.111111111111114,3.2580645161290325
COM ED MAINTENANCE BLDG,2016-09,41.7513999786378,-87.7134881520007,,21.1,,44.8125,2.966666666666667
COM ED MAINTENANCE BLDG,2016-10,41.7513999786378,-87.7134881520007,,22.580645161290324,,41.38461538461539,3.064516129032258
COM ED MAINTENANCE BLDG,2016-11,41.7513999786378,-87.7134881520007,,29.06896551724138,,51.11764705882353,1.9642857142857144
COM ED MAINTENANCE BLDG,2016-12,41.7513999786378,-87.7134881520007,,26.576923076923077,,44.78787878787879,1.7096774193548387
COM ED MAINTENANCE BLDG,2017-01,41.7513999786378,-87.7134881520007,,23.06451612903226,,50.916666666666664,2.032258064516129
COM ED MAINTENANCE BLDG,2017-02,41.7513999786378,-87.7134881520007,,27.178571428571427,,42.851851851851855,3.5
COM ED MAINTENANCE BLDG,2017-03,41.7513999786378,-87.7134881520007,,25.870967741935484,,33.8,1.5161290322580645
COM ED MAINTENANCE BLDG,2017-04,41.7513999786378,-87.7134881520007,,27.133333333333333,,35.8,2.4
COM ED MAINTENANCE BLDG,2017-05,41.7513999786378,-87.7134881520007,,27.0,,38.588235294117645,2.838709677419355
COM ED MAINTENANCE BLDG,2017-06,41.7513999786378,-87.7134881520007,,22.966666666666665,,50.714285714285715,2.966666666666667
COM ED MAINTENANCE BLDG,2017-07,41.7513999786378,-87.7134881520007,,20.387096774193548,,56.3235294117647,3.0
COM ED MAINTENANCE BLDG,2017-08,41.7513999786378,-87.7134881520007,,19.033333333333335,,53.935483870967744,2.5806451612903225
COM ED MAINTENANCE BLDG,2017-09,41.7513999786378,-87.7134881520007,,24.933333333333337,,46.088235294117645,5.466666666666667
COM ED MAINTENANCE BLDG,2017-10,41.7513999786378,-87.7134881520007,,18.612903225806452,,23.72222222222222,3.2903225806451615
COM ED MAINTENANCE BLDG,2017-11,41.7513999786378,-87.7134881520007,,25.933333333333337,,36.8125,3.933333333333333
COM ED MAINTENANCE BLDG,2017-12,41.7513999786378,-87.7134881520007,,26.612903225806452,,40.68571428571428,3.3870967741935485
COM ED MAINTENANCE BLDG,2018-01,41.7513999786378,-87.7134881520007,,29.15,,46.22857142857143,2.5483870967741935
COM ED MAINTENANCE BLDG,2018-02,41.7513999786378,-87.7134881520007,,33.535714285714285,,41.25925925925926,2.392857142857143
COM ED MAINTENANCE BLDG,2018-03,41.7513999786378,-87.7134881520007,,41.38709677419355,,37.5,5.096774193548387
COM ED MAINTENANCE BLDG,2018-04,41.7513999786378,-87.7134881520007,,34.8,,38.371428571428574,4.233333333333333
COM ED MAINTENANCE BLDG,2018-05,41.7513999786378,-87.7134881520007,,30.833333333333332,,46.96774193548387,4.935483870967742
COM ED MAINTENANCE BLDG,2018-06,41.7513999786378,-87.7134881520007,,,,46.42857142857143,3.3
COM ED MAINTENANCE BLDG,2018-07,41.7513999786378,-87.7134881520007,,,,46.57142857142857,3.903225806451613
COM ED MAINTENANCE BLDG,2018-08,41.7513999786378,-87.7134881520007,,19.458333333333332,,61.375,2.774193548387097
COM ED MAINTENANCE BLDG,2018-09,41.7513999786378,-87.7134881520007,,14.708333333333334,,47.52173913043478,3.92
COM ED MAINTENANCE BLDG,2018-10,41.7513999786378,-87.7134881520007,,15.8125,,43.19444444444444,2.4642857142857144
COM ED MAINTENANCE BLDG,2018-11,41.7513999786378,-87.7134881520007,,23.333333333333332,,47.225806451612904,2.3666666666666667
COM ED MAINTENANCE BLDG,2018-12,41.7513999786378,-87.7134881520007,,25.806451612903224,,52.75757575757576,2.3225806451612905
COM ED MAINTENANCE BLDG,2019-01,41.7513999786378,-87.7134881520007,,26.58823529411765,,44.9375,2.2903225806451615
COM ED MAINTENANCE BLDG,2019-02,41.7513999786378,-87.7134881520007,,27.571428571428573,,49.75757575757576,2.3214285714285716
COM ED MAINTENANCE BLDG,2019-03,41.7513999786378,-87.7134881520007,,30.29032258064516,,46.87096774193548,2.6
COM ED MAINTENANCE BLDG,2019-04,41.7513999786378,-87.7134881520007,,22.833333333333332,,39.4,2.6666666666666665
COM ED MAINTENANCE BLDG,2019-05,41.7513999786378,-87.7134881520007,,22.64516129032258,,49.39393939393939,2.2903225806451615
COM ED MAINTENANCE BLDG,2019-06,41.7513999786378,-87.7134881520007,,19.266666666666666,,57.94285714285714,2.9
COM ED MAINTENANCE BLDG,2019-07,41.7513999786378,-87.7134881520007,,17.774193548387096,,59.666666666666664,3.2580645161290325
COM ED MAINTENANCE BLDG,2019-08,41.7513999786378,-87.7134881520007,,19.70967741935484,,46.58064516129032,4.387096774193548
COM ED MAINTENANCE BLDG,2019-09,41.7513999786378,-87.7134881520007,,17.733333333333334,,51.32258064516129,4.466666666666667
COM ED MAINTENANCE BLDG,2019-10,41.7513999786378,-87.7134881520007,,18.93548387096774,,33.351351351351354,3.225806451612903
COM ED MAINTENANCE BLDG,2019-11,41.7513999786378,-87.7134881520007,,22.233333333333334,,35.714285714285715,1.9
COM ED MAINTENANCE BLDG,2019-12,41.7513999786378,-87.7134881520007,,21.967741935483872,,41.27777777777778,2.2903225806451615
COM ED MAINTENANCE BLDG,2020-01,41.7513999786378,-87.7134881520007,,22.0,,42.833333333333336,2.2580645161290325
COM ED MAINTENANCE BLDG,2020-02,41.7513999786378,-87.7134881520007,,24.551724137931036,,36.96551724137931,2.576923076923077
COM ED MAINTENANCE BLDG,2020-03,41.7513999786378,-87.7134881520007,,24.483870967741936,,41.166666666666664,3.838709677419355
COM ED MAINTENANCE BLDG,2020-04,41.7513999786378,-87.7134881520007,,23.266666666666666,,45.43333333333333,4.333333333333333
COM ED MAINTENANCE BLDG,2020-05,41.7513999786378,-87.7134881520007,,18.032258064516128,,48.02777777777778,4.0
COM ED MAINTENANCE BLDG,2020-06,41.7513999786378,-87.7134881520007,,21.0,,51.75757575757576,7.366666666666666
COM ED MAINTENANCE BLDG,2020-07,41.7513999786378,-87.7134881520007,,17.862068965517242,,47.111111111111114,5.225806451612903
COM ED MAINTENANCE BLDG,2020-08,41.7513999786378,-87.7134881520007,,,,46.75,5.32258064516129
COM ED MAINTENANCE BLDG,2020-09,41.7513999786378,-87.7134881520007,,17.607142857142858,,41.61290322580645,3.966666666666667
COM ED MAINTENANCE BLDG,2020-10,41.7513999786378,-87.7134881520007,,23.838709677419356,,27.655172413793103,3.903225806451613
COM ED MAINTENANCE BLDG,2020-11,41.7513999786378,-87.7134881520007,,20.066666666666663,,35.26923076923077,3.066666666666667
COM ED MAINTENANCE BLDG,2020-12,41.7513999786378,-87.7134881520007,,23.258064516129032,,46.42857142857143,4.096774193548387
COM ED MAINTENANCE BLDG,2021-01,41.7513999786378,-87.7134881520007,,,,46.8,
COM ED MAINTENANCE BLDG,2021-02,41.7513999786378,-87.7134881520007,,,,54.225806451612904,
COM ED MAINTENANCE BLDG,2021-03,41.7513999786378,-87.7134881520007,,,,47.611111111111114,
COM ED MAINTENANCE BLDG,2021-04,41.7513999786378,-87.7134881520007,,,,43.142857142857146,
COM ED MAINTENANCE BLDG,2021-05,41.7513999786378,-87.7134881520007,,,,41.333333333333336,
COM ED MAINTENANCE BLDG,2021-06,41.7513999786378,-87.7134881520007,,,,46.48275862068966,
COM ED MAINTENANCE BLDG,2021-07,41.7513999786378,-87.7134881520007,,,,59.02777777777778,
COM ED MAINTENANCE BLDG,2021-08,41.7513999786378,-87.7134881520007,,,,56.916666666666664,
COM ED MAINTENANCE BLDG,2021-09,41.7513999786378,-87.7134881520007,,,,41.88461538461539,
COM ED MAINTENANCE BLDG,2021-10,41.7513999786378,-87.7134881520007,,,,44.972972972972975,
COM ED MAINTENANCE BLDG,2021-11,41.7513999786378,-87.7134881520007,,,,38.94285714285714,
COM ED MAINTENANCE BLDG,2021-12,41.7513999786378,-87.7134881520007,,,,42.41935483870968,
COM ED MAINTENANCE BLDG,2022-01,41.7513999786378,-87.7134881520007,,,,43.666666666666664,
COM ED MAINTENANCE BLDG,2022-02,41.7513999786378,-87.7134881520007,,,,42.75,
COM ED MAINTENANCE BLDG,2022-03,41.7513999786378,-87.7134881520007,,,,40.17857142857143,
COM ED MAINTENANCE BLDG,2022-04,41.7513999786378,-87.7134881520007,,,,39.8,
COM ED MAINTENANCE BLDG,2022-05,41.7513999786378,-87.7134881520007,,,,43.935483870967744,
COM ED MAINTENANCE BLDG,2022-06,41.7513999786378,-87.7134881520007,,,,47.875,
COM ED MAINTENANCE BLDG,2022-07,41.7513999786378,-87.7134881520007,,,,50.388888888888886,
