Layer,Name,GEOID,Population,Longitude,Latitude,PMC_2011,PMC_2012,PMC_2013,PMC_2014,PMC_2015,PMC_2016,PMC_2017,PMC_2018,PMC_2019,PMC_2020
Census tract,Tract 2105.02,17031210502,4099,-87.7220524,41.9337846,12.466769,11.97268907,11.43854904,12.94952384,9.813303552,9.397819726,10.29339452,10.29339452,9.882463288,9.106431967
Census tract,Tract 2106.01,17031210601,2717,-87.712214,41.9376356,12.475884,11.94898087,11.42884575,12.92568685,9.781117213,9.354165205,10.24899507,10.24899507,9.842495068,9.075936065573773
Census tract,Tract 2106.02,17031210602,4148,-87.712572,41.934163,12.495788,11.95694044,11.44299726,12.93938822,9.796835792,9.376941644,10.26925863,10.26925863,9.870128493,9.083522404371593
Census tract,Tract 2107,17031210700,3907,-87.7038401,41.9357029,12.441178,11.93905601,11.4348137,12.95151836,9.778777049,9.341786575,10.22482658,10.22482658,9.831496164,9.061669945
Census tract,Tract 2108,17031210800,986,-87.6989334,41.9357455,12.472649,11.93716776,11.4311726,12.92025863,9.762101913,9.329895342,10.21641178,10.21641178,9.816499178082188,9.058109563
Census tract,Tract 2109,17031210900,3170,-87.6931182,41.9348372,12.507249,11.92538197,11.43218685,12.91650027,9.747169672,9.315061644,10.19106493,10.19106493,9.803884932,9.043299727
Census tract,Tract 2203,17031220300,2207,-87.6950863,41.9284647,12.541185,11.95902295,11.45996137,12.96578712,9.772813388,9.347636712,10.23276247,10.23276247,9.836949863,9.076637705
Census tract,Tract 2204,17031220400,2579,-87.6999684,41.9284314,12.543662,11.95926667,11.46309205,12.96008247,9.77963224,9.359133151,10.2469463,10.2469463,9.848805205479453,9.086661749
Census tract,Tract 2205,17031220500,2751,-87.7049877,41.9283343,12.530760969473159,11.967663769121675,11.463371863329128,12.958065061732727,9.796886985637924,9.372151459832157,10.266773194258539,10.26616575,9.868897808,9.094339891
Census tract,Tract 2206.01,17031220601,1635,-87.7128836,41.9258252,12.522067,11.9879694,11.47125726,12.97947945,9.811357377,9.400489041,10.29564932,10.29564932,9.896054247,9.119207104
Census tract,Tract 2206.02,17031220602,4877,-87.712086,41.929396,12.510794,11.96634918,11.4553926,12.98009863,9.800756831,9.383300274,10.28617836,10.28617836,9.87670137,9.109087432
Census tract,Tract 2207.01,17031220701,2920,-87.7215651,41.9261554,12.50289,12.00307924,11.46626959,12.96756521,9.829116667,9.410248493,10.32284658,10.32284658,9.911548219,9.127035792
Census tract,Tract 2207.02,17031220702,3653,-87.7242313,41.9293687,12.481886,11.99282623,11.46050192,12.9717863,9.828966393,9.412614521,10.31611781,10.31611781,9.918402192,9.121472404
Census tract,Tract 2209.01,17031220901,2903,-87.7212483,41.9191816,12.531776,12.01459536,11.49691233,13.0017389,9.857278689,9.441279178,10.35162274,10.35162274,9.947193424657533,9.162489344
Census tract,Tract 2209.02,17031220902,2959,-87.7218357,41.9227112,12.51423,12.0119418,11.48442822,13.0001526,9.832069126,9.43043863,10.33759726,10.33759726,9.928137534,9.13853388
Census tract,Tract 2210,17031221000,2432,-87.7152526,41.9209604,12.535811,12.01225191,11.49645342,12.9900074,9.833547268,9.418807397,10.33094219,10.33094219,9.923266027,9.138445081967213
Census tract,Tract 2211,17031221100,4440,-87.7103609,41.9210205,12.550337,12.00382486,11.4893263,13.00064411,9.828976503,9.406173699,10.31275808,10.31275808,9.910092877,9.134244808743167
Census tract,Tract 2212,17031221200,2954,-87.7046499,41.9210831,12.561249,11.99067459,11.48771397,12.99312904,9.814665301,9.390194521,10.28821315,10.28821315,9.899395342,9.122135519
Census tract,Tract 2213,17031221300,3062,-87.6997541,41.9211256,12.574888,11.9833082,11.48155041,12.9824474,9.811193169,9.382770137,10.27693151,10.27693151,9.886637808,9.113448361
Census tract,Tract 2214,17031221400,3385,-87.694532,41.9208013,12.606775,11.9816571,11.49024055,12.97942192,9.794174044,9.371548493,10.2636789,10.2636789,9.874434795,9.098961475
Census tract,Tract 2215,17031221500,2909,-87.6899513,41.9216468,12.551061,11.9750582,11.47706603,12.97163479,9.779122951,9.350700274,10.24990712,10.24990712,9.855650137,9.100082786885253
Census tract,Tract 2216,17031221600,3159,-87.6850971,41.9212478,12.554502465647131,11.964831567950357,11.483937977046223,12.97258319534039,9.774177962211157,9.349915171920836,10.232226479343371,10.23223781,9.835107671,9.082819945
Census tract,Tract 2222,17031222200,2156,-87.6838262,41.9159095,12.583813,11.97651202,11.51167096,12.99910301,9.789809016,9.359438356,10.24549781,10.24549781,9.864597808,9.109152459016387
Census tract,Tract 2225,17031222500,1415,-87.6995874,41.9156825,12.589697046771843,11.99788207932806,11.511459148789573,13.008292495782428,9.816968408,9.393393065066787,10.29735514561007,10.29712384,9.909849041095892,9.141373224
Census tract,Tract 2226,17031222600,1599,-87.7044798,41.9156388,12.585084,12.00832514,11.50769753,13.0092589,9.82572377,9.405439178,10.31671014,10.31671014,9.920288493,9.14363224
Census tract,Tract 2227,17031222700,2082,-87.7102058,41.9155009,12.578525,12.01178989,11.50782685,13.02531041,9.844069126,9.417977808,10.34080027,10.34080027,9.935559452,9.15307623
Census tract,Tract 2228,17031222800,960,-87.7150953,41.9154349,12.560711,12.0271276,11.50836384,13.01692712,9.849723224,9.436131507,10.34540603,10.34540603,9.944588767123292,9.167254372
Census tract,Tract 2229,17031222900,1089,-87.7200744,41.9155644,12.548154,12.03311038,11.51041096,13.02912712,9.865203825,9.448587671,10.36658438,10.36658438,9.952859726,9.167156557
Census tract,Tract 2301,17031230100,1504,-87.7043655,41.912008,12.569054,12.02033333,11.52381973,13.01614438,9.832290437,9.42231726,10.3331737,10.3331737,9.93409589,9.154625683060107
Census tract,Tract 2302,17031230200,1834,-87.7100844,41.9118688,12.589397,12.03187732,11.52108795,13.03392219,9.846819399,9.427359178,10.34855178,10.34855178,9.952199452,9.176824044
Census tract,Tract 2303,17031230300,956,-87.7149884,41.9117866,12.572946,12.02920738,11.52994877,13.03100384,9.863181967,9.44432137,10.3656,10.3656,9.958608219,9.184972131
Census tract,Tract 2304,17031230400,2235,-87.7215519,41.9118202,12.55520752225164,12.041185047272208,11.515236288626522,13.032673174416775,9.8805302,9.456163713423289,10.384704191017255,10.38462712,9.976378082,9.192778415
Census tract,Tract 2305,17031230500,3419,-87.7339434,41.9116892,12.526689257715296,12.059069180591257,11.512143109743985,13.026224320746316,9.891912156000858,9.49035959,10.414040105187963,10.41374712,10.00334712,9.212945902
